epoch,accuracy,loss,val_accuracy,val_loss
0,0.949999988079071,0.4718589186668396,0.9655172228813171,0.1544039100408554
1,0.9525641202926636,0.19438135623931885,0.9655172228813171,0.15280361473560333
2,0.9525641202926636,0.19188010692596436,0.9655172228813171,0.15327849984169006
3,0.9525641202926636,0.1919780969619751,0.9655172228813171,0.1518917828798294
4,0.9525641202926636,0.19163045287132263,0.9655172228813171,0.15297165513038635
5,0.9525641202926636,0.1923002451658249,0.9655172228813171,0.15427334606647491
6,0.9525641202926636,0.19292213022708893,0.9655172228813171,0.1509764939546585
7,0.9525641202926636,0.1968461275100708,0.9655172228813171,0.15043018758296967
8,0.9525641202926636,0.1950528621673584,0.9655172228813171,0.15058092772960663
9,0.9525641202926636,0.1919180303812027,0.9655172228813171,0.15202444791793823
10,0.9525641202926636,0.191208153963089,0.9655172228813171,0.15204963088035583
11,0.9525641202926636,0.1919623613357544,0.9655172228813171,0.1531585305929184
12,0.9525641202926636,0.19160819053649902,0.9655172228813171,0.15112324059009552
