epoch,accuracy,loss,val_accuracy,val_loss
0,0.7221153974533081,0.60232013463974,1.0,0.3423672020435333
1,0.7221153974533081,0.5927361249923706,1.0,0.3657092750072479
2,0.7221153974533081,0.5922808647155762,1.0,0.3028566539287567
3,0.7221153974533081,0.592578649520874,1.0,0.3465532064437866
4,0.7221153974533081,0.5924072265625,1.0,0.3391428291797638
5,0.7221153974533081,0.5920039415359497,1.0,0.3092059791088104
6,0.7221153974533081,0.591977059841156,1.0,0.29304906725883484
7,0.7221153974533081,0.5919760465621948,1.0,0.29976674914360046
8,0.7221153974533081,0.5928786993026733,1.0,0.34096190333366394
9,0.7221153974533081,0.5911133885383606,1.0,0.2740344703197479
10,0.7221153974533081,0.5917888283729553,1.0,0.3272380828857422
11,0.7221153974533081,0.5916710495948792,1.0,0.37264373898506165
12,0.7221153974533081,0.5921189785003662,1.0,0.32248350977897644
13,0.7221153974533081,0.5916722416877747,1.0,0.3261866271495819
14,0.7221153974533081,0.5920360684394836,1.0,0.3291086256504059
