epoch,accuracy,loss,val_accuracy,val_loss
0,0.9884615540504456,0.4227614104747772,0.9885057210922241,0.07365714013576508
1,0.9884615540504456,0.07390721142292023,0.9885057210922241,0.06677845865488052
2,0.9884615540504456,0.06500673294067383,0.9885057210922241,0.06276251375675201
3,0.9884615540504456,0.06324898451566696,0.9885057210922241,0.06283759325742722
4,0.9884615540504456,0.06356021016836166,0.9885057210922241,0.06278759241104126
5,0.9884615540504456,0.06308986991643906,0.9885057210922241,0.06276459246873856
6,0.9884615540504456,0.06327684968709946,0.9885057210922241,0.0627628043293953
7,0.9884615540504456,0.06314283609390259,0.9885057210922241,0.06276212632656097
8,0.9884615540504456,0.0637640655040741,0.9885057210922241,0.06279443949460983
9,0.9884615540504456,0.06359843909740448,0.9885057210922241,0.06277401000261307
10,0.9884615540504456,0.06431148201227188,0.9885057210922241,0.06277681142091751
11,0.9884615540504456,0.06327754259109497,0.9885057210922241,0.06277690082788467
12,0.9884615540504456,0.06374182552099228,0.9885057210922241,0.06287851184606552
