epoch,accuracy,loss,val_accuracy,val_loss
0,0.7221153974533081,0.6174225807189941,1.0,0.3142867386341095
1,0.7221153974533081,0.5927925109863281,1.0,0.33015739917755127
2,0.7221153974533081,0.5933274030685425,1.0,0.34041422605514526
3,0.7221153974533081,0.5921693444252014,1.0,0.3152736723423004
4,0.7221153974533081,0.5919895172119141,1.0,0.34888190031051636
5,0.7221153974533081,0.592706561088562,1.0,0.31323564052581787
6,0.7221153974533081,0.5912100076675415,1.0,0.2811700701713562
7,0.7221153974533081,0.593494176864624,1.0,0.32100170850753784
8,0.7221153974533081,0.5915700793266296,1.0,0.3535270094871521
9,0.7221153974533081,0.5905106067657471,1.0,0.26945868134498596
10,0.7221153974533081,0.5916563272476196,1.0,0.37849095463752747
11,0.7221153974533081,0.5921856760978699,1.0,0.3283960223197937
12,0.7221153974533081,0.5919045209884644,1.0,0.35154083371162415
13,0.7221153974533081,0.5926680564880371,1.0,0.35626623034477234
14,0.7221153974533081,0.5921183228492737,1.0,0.3391592502593994
